원본_지역명	수정된_시도	수정된_시군구
구분		
전국	전국	전국
서울특별시	서울특별시	서울특별시
강북14개구	서울특별시	서울특별시_강북14개구
강북구	서울특별시	서울특별시_강북구
광진구	서울특별시	서울특별시_광진구
노원구	서울특별시	서울특별시_노원구
도봉구	서울특별시	서울특별시_도봉구
동대문구	서울특별시	서울특별시_동대문구
마포구	서울특별시	서울특별시_마포구
서대문구	서울특별시	서울특별시_서대문구
성동구	서울특별시	서울특별시_성동구
성북구	서울특별시	서울특별시_성북구
용산구	서울특별시	서울특별시_용산구
은평구	서울특별시	서울특별시_은평구
종로구	서울특별시	서울특별시_종로구
중구	서울특별시	서울특별시_중구
중랑구	서울특별시	서울특별시_중랑구
강남11개구	서울특별시	서울특별시_강남11개구
강남구	서울특별시	서울특별시_강남구
강동구	서울특별시	서울특별시_강동구
강서구	서울특별시	서울특별시_강서구
관악구	서울특별시	서울특별시_관악구
구로구	서울특별시	서울특별시_구로구
금천구	서울특별시	서울특별시_금천구
동작구	서울특별시	서울특별시_동작구
서초구	서울특별시	서울특별시_서초구
송파구	서울특별시	서울특별시_송파구
양천구	서울특별시	서울특별시_양천구
영등포구	서울특별시	서울특별시_영등포구
6개광역시	6개광역시	6개광역시
부산광역시	부산광역시	부산광역시
중구	부산광역시	부산광역시_중구
서구	부산광역시	부산광역시_서구
동구	부산광역시	부산광역시_동구
영도구	부산광역시	부산광역시_영도구
부산진구	부산광역시	부산광역시_부산진구
동래구	부산광역시	부산광역시_동래구
남구	부산광역시	부산광역시_남구
북구	부산광역시	부산광역시_북구
해운대구	부산광역시	부산광역시_해운대구
사하구	부산광역시	부산광역시_사하구
금정구	부산광역시	부산광역시_금정구
연제구	부산광역시	부산광역시_연제구
수영구	부산광역시	부산광역시_수영구
사상구	부산광역시	부산광역시_사상구
기장군	부산광역시	부산광역시_기장군
강서구	부산광역시	부산광역시_강서구
대구광역시	대구광역시	대구광역시
중구	대구광역시	대구광역시_중구
동구	대구광역시	대구광역시_동구
서구	대구광역시	대구광역시_서구
남구	대구광역시	대구광역시_남구
북구	대구광역시	대구광역시_북구
수성구	대구광역시	대구광역시_수성구
달서구	대구광역시	대구광역시_달서구
달성군	대구광역시	대구광역시_달성군
인천광역시	인천광역시	인천광역시
중구	인천광역시	인천광역시_중구
동구	인천광역시	인천광역시_동구
미추홀구	인천광역시	인천광역시_미추홀구
연수구	인천광역시	인천광역시_연수구
남동구	인천광역시	인천광역시_남동구
부평구	인천광역시	인천광역시_부평구
계양구	인천광역시	인천광역시_계양구
서구	인천광역시	인천광역시_서구
광주광역시	광주광역시	광주광역시
동구	광주광역시	광주광역시_동구
서구	광주광역시	광주광역시_서구
남구	광주광역시	광주광역시_남구
북구	광주광역시	광주광역시_북구
광산구	광주광역시	광주광역시_광산구
대전광역시	대전광역시	대전광역시
동구	대전광역시	대전광역시_동구
중구	대전광역시	대전광역시_중구
서구	대전광역시	대전광역시_서구
유성구	대전광역시	대전광역시_유성구
대덕구	대전광역시	대전광역시_대덕구
울산광역시	울산광역시	울산광역시
중구	울산광역시	울산광역시_중구
남구	울산광역시	울산광역시_남구
동구	울산광역시	울산광역시_동구
북구	울산광역시	울산광역시_북구
울주군	울산광역시	울산광역시_울주군
5개광역시	5개광역시	5개광역시
수도권	수도권	수도권
세종특별자치시	세종특별자치시	세종특별자치시
경기도	경기도	경기도
수원시	경기도	경기도_수원시
장안구	경기도	경기도_수원시_장안구
권선구	경기도	경기도_수원시_권선구
팔달구	경기도	경기도_수원시_팔달구
영통구	경기도	경기도_수원시_영통구
성남시	경기도	경기도_성남시
수정구	경기도	경기도_성남시_수정구
중원구	경기도	경기도_성남시_중원구
분당구	경기도	경기도_성남시_분당구
고양시	경기도	경기도_고양시
덕양구	경기도	경기도_고양시_덕양구
일산동구	경기도	경기도_고양시_일산동구
일산서구	경기도	경기도_고양시_일산서구
안양시	경기도	경기도_안양시
만안구	경기도	경기도_안양시_만안구
동안구	경기도	경기도_안양시_동안구
부천시	경기도	경기도_부천시
원미구	경기도	경기도_부천시_원미구
소사구	경기도	경기도_부천시_소사구
오정구	경기도	경기도_부천시_오정구
의정부시	경기도	경기도_의정부시
광명시	경기도	경기도_광명시
평택시	경기도	경기도_평택시
안산시	경기도	경기도_안산시
단원구	경기도	경기도 안산시_단원구
상록구	경기도	경기도 안산시_상록구
과천시	경기도	경기도_과천시
구리시	경기도	경기도_구리시
남양주시	경기도	경기도_남양주시
용인시	경기도	경기도_용인시
처인구	경기도	경기도_용인시_처인구
기흥구	경기도	경기도_용인시_기흥구
수지구	경기도	경기도_용인시_수지구
시흥시	경기도	경기도_시흥시
군포시	경기도	경기도_군포시
의왕시	경기도	경기도_의왕시
하남시	경기도	경기도_하남시
오산시	경기도	경기도_오산시
파주시	경기도	경기도_파주시
이천시	경기도	경기도_이천시
안성시	경기도	경기도_안성시
김포시	경기도	경기도_김포시
양주시	경기도	경기도_양주시
동두천시	경기도	경기도_동두천시
광주시	경기도	경기도_광주시
화성시	경기도	경기도_화성시
강원특별자치도	강원특별자치도	강원특별자치도
춘천시	강원특별자치도	강원특별자치도_춘천시
강릉시	강원특별자치도	강원특별자치도_강릉시
원주시	강원특별자치도	강원특별자치도_원주시
충청북도	충청북도	충청북도
청주시	충청북도	충청북도_청주시
상당구	충청북도	충청북도_청주시_상당구
서원구	충청북도	충청북도_청주시_서원구
청원구	충청북도	충청북도_청주시_청원구
흥덕구	충청북도	충청북도_청주시_흥덕구
충주시	충청북도	충청북도_충주시
제천시	충청북도	충청북도_제천시
충청남도	충청남도	충청남도
천안시	충청남도	충청남도_천안시
동남구	충청남도	충청남도_천안시_동남구
서북구	충청남도	충청남도_천안시_서북구
공주시	충청남도	충청남도_공주시
아산시	충청남도	충청남도_아산시
논산시	충청남도	충청남도_논산시
계룡시	충청남도	충청남도_계룡시
당진시	충청남도	충청남도_당진시
서산시	충청남도	충청남도_서산시
전북특별자치도	전북특별자치도	전북특별자치도
전주시	전북특별자치도	전북특별자치도_전주시
완산구	전북특별자치도	전북특별자치도_전주시_완산구
덕진구	전북특별자치도	전북특별자치도_전주시_덕진구
익산시	전북특별자치도	전북특별자치도_익산시
군산시	전북특별자치도	전북특별자치도_군산시
전라남도	전라남도	전라남도
목포시	전라남도	전라남도_목포시
순천시	전라남도	전라남도_순천시
광양시	전라남도	전라남도_광양시
여수시	전라남도	전라남도_여수시
경상북도	경상북도	경상북도
포항시	경상북도	경상북도_포항시
남구	경상북도	경상북도 남구
북구	경상북도	경상북도 북구
구미시	경상북도	경상북도_구미시
경산시	경상북도	경상북도_경산시
안동시	경상북도	경상북도_안동시
김천시	경상북도	경상북도_김천시
경상남도	경상남도	경상남도
